id_produto,tipo,temperatura_ar_k,temperatura_processo_k,velocidade_rotacao_rpm,torque_nm,desgaste_ferramenta_min,falha_maquina,potencia_calc
H29522,H,300.1,310.1,1504.0,40.1,75,0,60310.4
L47289,L,298.9,308.7,1572.0,34.1,80,0,53605.200000000004
L47290,L,298.8,308.6,1872.0,22.5,82,0,42120.0
H29525,H,298.7,308.6,1499.0,43.5,84,0,65206.5
M14972,M,298.8,308.7,1498.0,39.5,89,0,59171.0
M14973,M,298.8,308.6,1486.0,41.9,92,0,62263.4
L47294,L,298.8,308.6,1680.0,29.4,95,0,49392.0
L47295,L,298.8,308.6,1431.0,45.7,97,0,65396.700000000004
L47296,L,298.9,308.7,1564.0,34.1,99,0,53332.4
L47297,L,298.8,308.6,1599.0,33.0,101,0,52767.0
M14978,M,298.8,308.6,1707.0,28.1,103,0,47966.700000000004
L47299,L,300.1,310.1,1504.0,40.1,106,0,60310.4
L47300,L,298.9,308.7,1433.0,44.7,108,0,64055.100000000006
L47301,L,298.9,308.7,1558.0,41.2,110,0,64189.600000000006
L47302,L,299.0,308.8,1310.0,50.7,112,0,66417.0
L47303,L,298.9,308.7,1546.0,43.4,114,0,67096.4
L47304,L,298.9,308.7,1727.0,29.4,116,0,50773.799999999996
L47305,L,298.9,308.6,1560.0,32.2,118,0,50232.00000000001
L47306,L,299.0,308.6,1329.0,60.5,120,0,80404.5
L47307,L,298.9,308.6,1413.0,46.5,122,0,65704.5
L47308,L,299.0,308.6,1587.0,38.6,124,0,61258.200000000004
L47309,L,298.9,308.5,1559.0,34.3,126,0,53473.7
L47310,L,298.8,308.4,1473.0,41.1,128,0,60540.3
L47311,L,298.8,308.4,1737.0,27.7,130,0,48114.9
M14992,M,298.7,308.4,1441.0,43.2,132,0,62251.200000000004
M14993,M,298.7,308.4,1430.0,49.6,135,0,70928.0
L47314,L,298.8,308.4,1369.0,53.0,138,0,72557.0
M14995,M,298.8,308.5,1711.0,28.5,140,0,48763.5
H29550,H,298.7,308.5,1420.0,45.7,143,0,64894.00000000001
L47317,L,298.7,308.6,1297.0,55.3,148,0,71724.09999999999
H29552,H,298.8,308.6,1449.0,49.4,150,0,71580.59999999999
L47319,L,298.8,308.6,1268.0,55.8,155,0,70754.4
L47320,L,298.8,308.6,1511.0,36.1,157,0,54547.1
L47321,L,298.7,308.5,1544.0,35.2,159,0,54348.8
M15002,M,298.6,308.4,1778.0,28.2,161,0,50139.6
H29557,H,298.6,308.4,1407.0,50.5,164,0,71053.5
M15004,M,298.6,308.4,1391.0,42.4,169,0,58978.4
L47325,L,298.5,308.4,1513.0,33.6,172,0,50836.8
H29560,H,298.5,308.4,1612.0,36.1,174,0,58193.200000000004
L47327,L,298.4,308.4,1515.0,40.1,179,0,60751.5
M15008,M,298.3,308.3,1379.0,48.0,181,0,66192.0
L47329,L,298.4,308.3,1473.0,39.9,184,0,58772.7
L47330,L,298.4,308.3,1422.0,42.7,186,0,60719.4
M15011,M,298.4,308.2,1463.0,37.6,188,0,55008.8
M15012,M,298.4,308.2,1584.0,41.0,191,0,64944.0
L47333,L,298.4,308.2,1850.0,27.0,194,0,49950.0
L47334,L,298.4,308.2,1528.0,36.2,196,0,55313.600000000006
H29569,H,298.4,308.2,1987.0,19.8,198,0,39342.6
M15016,M,298.4,308.1,1495.0,46.0,203,0,68770.0
H29571,H,298.4,308.2,1478.0,43.5,206,0,64293.0
M15018,M,298.4,308.2,1499.0,40.0,211,0,59960.0
L47339,L,298.4,308.2,1471.0,47.0,214,0,69137.0
L47340,L,298.4,308.2,1282.0,60.7,216,1,77817.40000000001
L47341,L,298.3,308.1,1412.0,52.3,218,1,73847.59999999999
L47342,L,298.3,308.1,1586.0,35.5,0,0,56303.0
M15023,M,298.4,308.2,1468.0,43.8,2,0,64298.399999999994
M15024,M,298.5,308.3,1440.0,43.6,5,0,62784.0
L47345,L,298.5,308.4,1733.0,26.0,8,0,45058.0
H29580,H,298.4,308.2,1612.0,32.6,10,0,52551.200000000004
H29581,H,298.4,308.3,1458.0,42.9,15,0,62548.2
L47348,L,298.4,308.3,1433.0,62.3,20,1,89275.9
L47349,L,298.4,308.3,1318.0,59.1,22,0,77893.8
M15030,M,298.4,308.2,1610.0,35.0,24,0,56350.0
L47351,L,298.2,308.1,1462.0,50.8,27,0,74269.59999999999
M15032,M,298.1,308.0,1924.0,20.8,29,0,40019.200000000004
M15033,M,298.2,308.0,1591.0,33.7,32,0,53616.700000000004
L47354,L,298.2,308.1,1306.0,58.3,35,0,76139.8
L47355,L,298.2,308.1,1382.0,43.5,37,0,60117.0
L47356,L,298.2,308.1,1618.0,34.7,39,0,56144.600000000006
L47357,L,298.2,308.2,1988.0,21.4,41,0,42543.2
L47358,L,298.2,308.2,1436.0,50.2,43,0,72087.2
L47359,L,298.2,308.3,1304.0,49.8,45,0,64939.2
L47360,L,298.2,308.3,1475.0,49.9,47,0,73602.5
H29595,H,298.2,308.3,1824.0,24.2,49,0,44140.799999999996
M15042,M,298.1,308.2,1342.0,48.1,54,0,64550.200000000004
L47363,L,298.1,308.2,1485.0,40.7,57,0,60439.50000000001
L47364,L,298.2,308.2,1667.0,30.6,59,0,51010.200000000004
L47365,L,298.2,308.2,1446.0,38.2,61,0,55237.200000000004
L47366,L,298.1,308.3,1301.0,56.0,63,0,72856.0
L47367,L,298.2,308.4,1379.0,43.1,65,0,59434.9
L47368,L,298.3,308.5,1606.0,33.6,67,0,53961.600000000006
M15049,M,298.3,308.4,1539.0,43.4,69,0,66792.59999999999
L47370,L,298.2,308.4,1477.0,49.9,72,0,73702.3
L47371,L,298.2,308.4,1666.0,34.6,74,0,57643.600000000006
H29606,H,298.2,308.4,1398.0,51.8,76,0,72416.4
H29607,H,298.2,308.4,1678.0,34.6,81,0,58058.8
M15054,M,298.2,308.5,2678.0,10.7,86,1,28654.6
L47375,L,298.3,308.5,1453.0,42.9,89,0,62333.7
H29610,H,298.3,308.6,1432.0,49.5,91,0,70884.0
M15057,M,298.4,308.6,1527.0,40.9,96,0,62454.299999999996
L47378,L,298.4,308.7,1588.0,35.0,99,0,55580.0
L47379,L,298.4,308.6,1433.0,47.1,101,0,67494.3
L47380,L,298.4,308.6,1609.0,35.0,103,0,56315.0
L47381,L,298.3,308.5,1575.0,41.2,105,0,64890.00000000001
M15062,M,298.4,308.5,1636.0,35.7,107,0,58405.200000000004
L47383,L,298.4,308.5,1490.0,37.9,110,0,56471.0
L47384,L,298.4,308.5,1741.0,32.8,112,0,57104.799999999996
M15065,M,298.5,308.6,1344.0,53.0,114,0,71232.0
L47386,L,298.5,308.7,1609.0,35.3,117,0,56797.7
M15067,M,298.4,308.7,1421.0,60.7,119,1,86254.7
L47388,L,298.4,308.6,1591.0,36.7,122,0,58389.700000000004
L47389,L,298.4,308.6,1477.0,44.0,124,0,64988.0
L47390,L,298.4,308.7,1523.0,36.1,126,0,54980.3
L47391,L,298.5,308.7,1575.0,33.9,128,0,53392.5
H29626,H,298.4,308.7,1344.0,52.9,130,0,71097.59999999999
L47393,L,298.4,308.7,1386.0,44.9,135,0,62231.4
M15074,M,298.3,308.6,1589.0,37.1,137,0,58951.9
L47395,L,298.3,308.6,1548.0,40.3,140,0,62384.399999999994
L47396,L,298.3,308.6,1499.0,38.3,142,0,57411.7
L47397,L,298.3,308.5,1664.0,31.6,144,0,52582.4
L47398,L,298.3,308.6,1447.0,38.1,146,0,55130.700000000004
M15079,M,298.3,308.5,1434.0,46.2,148,0,66250.8
L47400,L,298.3,308.5,1416.0,52.7,151,0,74623.2
H29635,H,298.4,308.5,1827.0,24.3,153,0,44396.1
L47402,L,298.4,308.6,1304.0,45.0,158,0,58680.0
L47403,L,298.4,308.6,1569.0,34.4,160,0,53973.6
L47404,L,298.3,308.6,1584.0,29.3,162,0,46411.200000000004
L47405,L,298.3,308.5,1362.0,53.8,164,0,73275.59999999999
L47406,L,298.3,308.4,1329.0,49.2,166,0,65386.8
L47407,L,298.3,308.5,1539.0,36.1,168,0,55557.9
M15088,M,298.3,308.5,1629.0,37.1,170,0,60435.9
L47409,L,298.3,308.5,1538.0,32.2,173,0,49523.600000000006
L47410,L,298.3,308.6,1570.0,34.8,175,0,54635.99999999999
L47411,L,298.3,308.4,1408.0,43.1,177,0,60684.8
L47412,L,298.2,308.4,1424.0,47.6,179,0,67782.40000000001
L47413,L,298.2,308.4,1512.0,34.9,181,0,52768.799999999996
L47414,L,298.2,308.4,1478.0,42.9,183,0,63406.2
M15095,M,298.1,308.3,1680.0,33.7,185,0,56616.00000000001
L47416,L,298.1,308.3,1495.0,38.7,188,0,57856.50000000001
M15097,M,298.0,308.1,1552.0,36.6,190,0,56803.200000000004
L47418,L,297.9,308.1,1393.0,50.3,193,0,70067.9
L47419,L,298.0,308.2,1611.0,30.6,195,0,49296.600000000006
M15100,M,298.0,308.1,1339.0,51.6,197,0,69092.40000000001
L47421,L,298.0,308.1,1777.0,24.3,200,0,43181.1
L47422,L,298.0,308.2,1348.0,58.8,202,1,79262.4
L47423,L,298.0,308.2,1442.0,44.1,204,0,63592.200000000004
M15104,M,298.0,308.2,1395.0,49.1,206,0,68494.5
M15105,M,297.9,308.1,1627.0,31.4,209,0,51087.799999999996
L47426,L,297.9,308.1,1585.0,33.5,212,0,53097.5
L47427,L,298.0,308.2,1469.0,45.5,214,0,66839.5
L47428,L,298.0,308.3,1362.0,56.8,216,1,77361.59999999999
L47429,L,298.0,308.3,1405.0,56.2,218,1,78961.0
L47430,L,298.0,308.3,1662.0,32.7,0,0,54347.4
M15111,M,300.1,310.1,1504.0,40.1,2,0,60310.4
L47432,L,298.0,308.2,1620.0,35.8,5,0,57995.99999999999
L47433,L,298.0,308.2,1357.0,48.2,7,0,65407.4
L47434,L,298.0,308.2,1514.0,37.9,9,0,57380.6
L47435,L,298.0,308.2,1489.0,40.4,11,0,60155.6
L47436,L,298.1,308.3,1331.0,63.0,13,0,83853.0
L47437,L,298.0,308.0,1615.0,29.5,15,0,47642.5
L47438,L,298.1,308.2,1482.0,37.9,17,0,56167.799999999996
M15119,M,300.1,310.1,1504.0,40.1,19,1,60310.4
M15120,M,298.2,308.3,1522.0,49.1,22,0,74730.2
L47441,L,298.1,308.2,1654.0,32.1,25,0,53093.4
M15122,M,298.1,308.2,1736.0,26.8,27,0,46524.8
M15123,M,300.1,310.1,1504.0,40.1,30,0,60310.4
L47444,L,298.1,308.2,1390.0,47.5,33,0,66025.0
L47445,L,298.0,308.1,1454.0,37.1,35,0,53943.4
H29680,H,298.0,308.1,1440.0,43.7,37,0,62928.00000000001
L47447,L,297.9,308.0,1954.0,21.1,42,0,41229.4
H29682,H,297.9,308.0,1800.0,24.8,44,0,44640.0
L47449,L,298.0,308.0,1524.0,37.0,49,0,56388.0
H29684,H,298.0,308.0,1520.0,39.6,51,0,60192.0
M15131,M,298.1,308.1,1452.0,40.8,56,0,59241.6
L47452,L,298.1,308.1,1484.0,40.4,59,0,59953.6
L47453,L,298.1,308.0,1426.0,46.0,61,0,65596.0
L47454,L,298.1,308.0,1652.0,28.5,63,0,47082.0
L47455,L,298.0,308.0,1401.0,54.7,65,0,76634.7
M15136,M,298.0,307.9,1750.0,26.6,67,0,46550.0
H29691,H,298.0,308.0,1479.0,50.7,70,0,74985.3
M15138,M,298.0,308.0,1620.0,29.4,75,0,47628.0
L47459,L,298.0,308.1,1819.0,23.4,78,0,42564.6
M15140,M,298.1,308.1,1456.0,43.7,80,0,63627.200000000004
L47461,L,298.1,308.0,1626.0,36.5,83,0,59349.0
M15142,M,298.1,308.1,1390.0,49.8,85,0,69222.0
L47463,L,298.2,308.2,1469.0,43.0,88,0,63167.0
L47464,L,298.2,308.3,2051.0,19.2,90,0,39379.2
L47465,L,298.2,308.3,1568.0,36.0,92,0,56448.0
L47466,L,298.2,308.3,1589.0,33.2,94,0,52754.8
L47467,L,298.2,308.3,1805.0,31.6,96,0,57038.0
H29702,H,298.2,308.4,1385.0,42.2,98,0,58447.00000000001
L47469,L,298.1,308.4,1436.0,46.7,103,0,67061.2
L47470,L,300.1,310.1,1504.0,40.1,105,0,60310.4
L47471,L,298.0,308.3,1473.0,42.6,107,0,62749.8
L47472,L,298.1,308.4,1335.0,40.2,109,0,53667.00000000001
H29707,H,298.1,308.5,1392.0,44.8,111,0,62361.6
M15154,M,298.1,308.5,1372.0,51.1,116,0,70109.2
M15155,M,298.1,308.6,1716.0,30.7,119,0,52681.2
L47476,L,298.0,308.5,1395.0,46.2,122,0,64449.00000000001
L47477,L,298.0,308.5,1713.0,25.3,124,0,43338.9
H29712,H,297.9,308.5,2129.0,18.7,126,0,39812.299999999996
M15159,M,297.8,308.3,1567.0,35.6,131,0,55785.200000000004
L47480,L,297.8,308.4,1622.0,38.3,134,0,62122.6
L47481,L,297.7,308.4,1740.0,27.1,136,0,47154.0
H29716,H,297.8,308.4,1512.0,35.1,138,0,53071.200000000004
M15163,M,300.1,310.1,1504.0,40.1,143,0,60310.4
L47484,L,300.1,310.1,1504.0,40.1,146,0,60310.4
L47485,L,297.8,308.4,2129.0,19.2,148,0,40876.799999999996
L47486,L,297.8,308.4,1374.0,47.1,150,0,64715.4
M15167,M,297.8,308.4,1579.0,36.6,152,0,57791.4
L47488,L,297.9,308.5,1305.0,47.2,155,0,61596.00000000001
M15169,M,297.9,308.5,1449.0,40.8,157,0,59119.2
H29724,H,298.0,308.6,1526.0,41.8,160,0,63786.799999999996
M15171,M,300.1,310.1,1504.0,40.1,165,0,60310.4
L47492,L,297.9,308.6,1468.0,36.0,168,0,52848.0
L47493,L,298.0,308.6,1313.0,50.8,170,0,66700.4
M15174,M,297.9,308.5,1300.0,53.0,172,0,68900.0
L47495,L,297.9,308.4,1646.0,40.6,175,0,66827.6
L47496,L,297.8,308.4,1714.0,33.2,177,0,56904.8
L47497,L,297.8,308.4,1685.0,28.4,179,0,47854.0
L47498,L,297.8,308.4,1512.0,39.9,181,0,60328.799999999996
L47499,L,297.8,308.4,1612.0,32.1,183,0,51745.200000000004
H29734,H,297.8,308.4,1550.0,38.2,185,0,59210.00000000001
L47501,L,300.1,310.1,1504.0,40.1,190,0,60310.4
L47502,L,297.8,308.5,1448.0,40.0,192,0,57920.0
L47503,L,297.8,308.5,1561.0,46.3,194,0,72274.29999999999
M15184,M,297.8,308.5,1488.0,41.9,196,0,62347.2
L47505,L,297.8,308.5,1699.0,27.8,199,0,47232.200000000004
L47506,L,297.7,308.5,1501.0,41.4,201,0,62141.4
L47507,L,297.7,308.5,1373.0,56.7,203,1,77849.1
H29742,H,297.6,308.4,1703.0,31.4,205,0,53474.2
H29743,H,297.7,308.5,1720.0,29.9,210,0,51428.0
M15190,M,297.6,308.4,1398.0,41.9,215,0,58576.2
M15191,M,297.6,308.4,1391.0,51.9,218,0,72192.9
M15192,M,297.6,308.3,1538.0,40.2,0,0,61827.600000000006
L47513,L,300.1,310.1,1504.0,40.1,3,0,60310.4
M15194,M,297.5,308.1,1469.0,44.8,5,0,65811.2
L47515,L,297.4,308.1,1749.0,25.9,8,0,45299.1
M15196,M,297.6,308.2,1995.0,20.5,10,0,40897.5
L47517,L,297.6,308.3,1742.0,27.7,13,0,48253.4
L47518,L,297.5,308.2,1563.0,38.2,15,0,59706.600000000006
M15199,M,297.5,308.2,1713.0,32.2,17,0,55158.600000000006
L47520,L,297.4,308.1,1474.0,39.4,20,0,58075.6
M15201,M,297.4,308.2,1530.0,32.6,22,0,49878.0
L47522,L,297.4,308.2,1471.0,46.5,25,0,68401.5
L47523,L,297.5,308.3,1388.0,48.6,27,0,67456.8
M15204,M,297.5,308.2,2448.0,13.8,29,0,33782.4
L47525,L,297.5,308.3,1585.0,32.9,32,0,52146.5
M15206,M,300.1,310.1,1504.0,40.1,34,0,60310.4
L47527,L,297.5,308.3,1544.0,40.8,37,0,62995.2
L47528,L,297.6,308.3,1617.0,31.7,39,0,51258.9
L47529,L,297.6,308.3,1595.0,34.3,41,0,54708.49999999999
H29764,H,297.6,308.3,1400.0,44.3,43,0,62019.99999999999
M15211,M,297.6,308.4,1611.0,31.0,48,0,49941.0
M15212,M,297.6,308.4,1507.0,46.0,51,0,69322.0
H29767,H,297.5,308.3,1674.0,30.0,54,0,50220.0
L47534,L,297.6,308.3,1658.0,34.3,59,0,56869.399999999994
L47535,L,297.6,308.3,1623.0,36.9,61,0,59888.7
M15216,M,297.6,308.4,1398.0,48.9,63,0,68362.2
L47537,L,297.6,308.4,1517.0,34.2,66,0,51881.4
M15218,M,297.6,308.3,1467.0,36.7,68,0,53838.9
M15219,M,297.6,308.3,1567.0,34.6,71,0,54218.200000000004
M15220,M,300.1,310.1,1504.0,40.1,74,0,60310.4
L47541,L,297.5,308.3,1596.0,36.8,77,0,58732.799999999996
H29776,H,297.6,308.3,1640.0,30.9,79,0,50676.0
L47543,L,297.6,308.3,1438.0,47.8,84,0,68736.4
L47544,L,297.6,308.4,1407.0,55.2,86,0,77666.40000000001
L47545,L,297.6,308.4,1353.0,57.5,88,0,77797.5
M15226,M,297.6,308.5,1552.0,40.9,90,0,63476.799999999996
M15227,M,300.1,310.1,1504.0,40.1,93,0,60310.4
L47548,L,297.5,308.4,1489.0,39.5,96,0,58815.5
H29783,H,297.5,308.4,1587.0,36.1,98,0,57290.700000000004
M15230,M,297.5,308.3,1622.0,37.2,103,0,60338.4
L47551,L,297.5,308.4,1604.0,38.1,106,0,61112.4
M15232,M,297.4,308.3,1405.0,51.7,108,0,72638.5
L47553,L,297.4,308.3,1412.0,42.0,111,0,59304.0
L47554,L,297.4,308.3,1431.0,43.0,113,0,61533.0
L47555,L,297.4,308.2,1533.0,37.4,115,0,57334.2
M15236,M,297.4,308.2,1401.0,51.9,117,0,72711.9
M15237,M,297.4,308.2,1424.0,53.9,120,0,76753.59999999999
L47558,L,297.3,308.2,1754.0,29.4,123,0,51567.6
L47559,L,297.3,308.2,1754.0,26.8,125,0,47007.200000000004
L47560,L,297.5,308.3,2564.0,12.8,127,1,32819.200000000004
L47561,L,297.5,308.5,1546.0,40.4,129,0,62458.399999999994
L47562,L,297.5,308.5,1335.0,48.0,131,0,64080.0
M15243,M,297.5,308.6,1842.0,27.0,133,0,49734.0
L47564,L,297.5,308.5,1712.0,26.8,136,0,45881.6
M15245,M,297.6,308.6,1414.0,45.4,138,0,64195.6
L47566,L,297.6,308.7,1319.0,50.9,141,0,67137.09999999999
L47567,L,297.7,308.7,1249.0,60.4,143,0,75439.59999999999
L47568,L,300.1,310.1,1504.0,40.1,145,0,60310.4
M15249,M,297.6,308.7,1408.0,54.8,147,0,77158.4
L47570,L,297.6,308.7,1460.0,46.7,150,0,68182.0
L47571,L,297.6,308.6,1491.0,38.1,152,0,56807.1
M15252,M,297.6,308.5,1490.0,43.4,154,0,64666.0
M15253,M,297.5,308.4,1350.0,52.2,157,0,70470.0
L47574,L,297.5,308.4,1528.0,39.9,160,0,60967.2
L47575,L,297.4,308.3,1571.0,37.7,162,0,59226.700000000004
L47576,L,297.4,308.3,1490.0,42.6,164,0,63474.0
M15257,M,297.4,308.3,1774.0,28.9,166,0,51268.6
H29812,H,297.4,308.3,1502.0,43.6,169,0,65487.200000000004
L47579,L,297.4,308.4,1392.0,49.7,174,0,69182.40000000001
L47580,L,297.4,308.5,2100.0,16.9,176,0,35490.0
L47581,L,297.5,308.5,1722.0,30.4,178,0,52348.799999999996
L47582,L,297.4,308.6,1678.0,32.3,180,0,54199.399999999994
L47583,L,297.3,308.6,1273.0,59.8,182,0,76125.4
L47584,L,297.3,308.6,1297.0,45.9,184,0,59532.299999999996
L47585,L,297.3,308.5,1350.0,57.6,186,0,77760.0
L47586,L,297.4,308.6,1439.0,51.9,188,0,74684.09999999999
M15267,M,297.4,308.5,1600.0,42.1,190,0,67360.0
M15268,M,297.4,308.6,1434.0,44.4,193,0,63669.6
L47589,L,297.4,308.6,1459.0,41.3,196,0,60256.7
M15270,M,297.5,308.6,1472.0,44.9,198,0,66092.8
L47591,L,297.5,308.7,1429.0,44.3,201,0,63304.7
L47592,L,297.5,308.6,1388.0,48.2,203,0,66901.6
L47593,L,297.4,308.4,1573.0,34.5,205,0,54268.5
L47594,L,297.4,308.4,1588.0,32.5,207,0,51610.0
L47595,L,297.5,308.4,1511.0,42.8,209,0,64670.799999999996
L47596,L,300.1,310.1,1504.0,40.1,211,0,60310.4
L47597,L,297.4,308.4,1394.0,50.1,213,0,69839.40000000001
L47598,L,297.4,308.4,2151.0,17.7,0,0,38072.7
M15279,M,297.3,308.3,1501.0,38.2,2,0,57338.200000000004
